"baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","gene_id","gene_symbol","gene_name","significance"
933.740765134397,4.38566248446247,0.68966732839017,6.35909851594615,2.02941224694318e-10,4.90433940068346e-08,"ENSG00000160191","PDE9A","phosphodiesterase 9A","Up"
181.706183819856,6.1043549704361,0.96212389439486,6.34466621814389,2.22908201169327e-10,5.32894412537381e-08,"ENSG00000185168",NA,NA,"Up"
280.892533642122,11.5425130225714,1.82696590062726,6.31785903535936,2.65211755822686e-10,6.27282230553805e-08,"ENSG00000196616","ADH1B","alcohol dehydrogenase 1B (class I), beta polypeptide","Up"
6777.01066393533,5.49135073616025,0.870330247234234,6.30950234535781,2.7993412497335e-10,6.55134252687631e-08,"ENSG00000145113","MUC4","mucin 4, cell surface associated","Up"
13117.9067676788,5.76799493027902,0.914719626121908,6.30575180149277,2.86798317623101e-10,6.64206978720251e-08,"ENSG00000205277","MUC12","mucin 12, cell surface associated","Up"
17250.770523383,5.23255244049636,0.8334724351413,6.27801498871319,3.42922863948437e-10,7.70121619612686e-08,"ENSG00000117472","TSPAN1","tetraspanin 1","Up"
1234.76047732792,-6.95761335299464,1.10797791072018,-6.2795596244985,3.39533367303194e-10,7.70121619612686e-08,"ENSG00000081041","CXCL2","C-X-C motif chemokine ligand 2","Down"
435.079967365535,7.70989418471888,1.22774715186721,6.27970846683973,3.3920848587507e-10,7.70121619612686e-08,"ENSG00000204632","HLA-G","major histocompatibility complex, class I, G","Up"
432.832178839768,-4.92699917155825,0.787054200067422,-6.26005066885632,3.84852408195934e-10,8.5564235914202e-08,"ENSG00000203747","FCGR3A","Fc gamma receptor IIIa","Down"
1384.826640796,2.07399762887699,0.332570275673192,6.23626878463142,4.48130860528706e-10,9.86464695260864e-08,"ENSG00000152642","GPD1L","glycerol-3-phosphate dehydrogenase 1 like","Up"
58102.0068040342,8.61012772777248,1.38217255698528,6.22941591790276,4.68177343386084e-10,1.02048890936302e-07,"ENSG00000275395","FCGBP","Fc gamma binding protein","Up"
1287.46584127032,6.41714849644309,1.03130349386953,6.22236667924539,4.8971086910639e-10,1.04978339553332e-07,"ENSG00000204099","NEU4","neuraminidase 4","Up"
148.442622347085,4.46801140761671,0.718106409410433,6.22193500721566,4.91060464784174e-10,1.04978339553332e-07,"ENSG00000233006","MIR3936HG","MIR3936 host gene","Up"
6596.33839641348,-17.2818772223931,2.78871336312517,-6.19707907270407,5.75206078710268e-10,1.21795778552051e-07,"ENSG00000099985","OSM","oncostatin M","Down"
1352.65072878137,4.40567922091172,0.711210050809785,6.19462452182081,5.84241367872219e-10,1.22541871055689e-07,"ENSG00000204610","TRIM15","tripartite motif containing 15","Up"
101.438900041967,10.3664736937503,1.67401755986852,6.19257165651504,5.91904255801136e-10,1.22988853450716e-07,"ENSG00000116748","AMPD1","adenosine monophosphate deaminase 1","Up"
122.844768438586,3.47927703184352,0.563890136892588,6.1701328046216,6.82326579346158e-10,1.40464507764844e-07,"ENSG00000152763","DNAI4","dynein axonemal intermediate chain 4","Up"
478.418286686497,4.13736546892266,0.670847783616764,6.16736847011217,6.94358269213966e-10,1.40472760392336e-07,"ENSG00000204323","SMIM5","small integral membrane protein 5","Up"
3288.23112814967,4.29362620792576,0.696201054008803,6.16722164265996,6.95003087444652e-10,1.40472760392336e-07,"ENSG00000105755","ETHE1","ETHE1 persulfide dioxygenase","Up"
113.855530556385,8.82632315432335,1.43328685861593,6.15809954669268,7.3623075146129e-10,1.47465029704855e-07,"ENSG00000196990","FAM163B","family with sequence similarity 163 member B","Up"
684.366468541978,4.23140788816553,0.687322086734083,6.15636827309264,7.44320290143139e-10,1.47754223310289e-07,"ENSG00000154274","PGCKA1","PDCD10 and GCKIII kinases associated 1","Up"
774.431487853636,-4.49735145891021,0.731461955250259,-6.14844207088188,7.82476947844222e-10,1.53954070632041e-07,"ENSG00000100985","MMP9","matrix metallopeptidase 9","Down"
5068.8264002137,3.85144260843741,0.626771907164418,6.14488710232999,8.00204096722049e-10,1.56060856863345e-07,"ENSG00000169994","MYO7B","myosin VIIB","Up"
233.923198990121,7.61610761099676,1.24051645028349,6.13946522777373,8.27997454465266e-10,1.60077107870663e-07,"ENSG00000172955","ADH6","alcohol dehydrogenase 6 (class V)","Up"
894.286176853446,4.10278599276173,0.670665942977101,6.11748074540563,9.50662429481668e-10,1.82207567195396e-07,"ENSG00000162817","C1orf115","chromosome 1 open reading frame 115","Up"
2130.22340171718,6.56047434123019,1.07280336491128,6.11526264346938,9.6398064175715e-10,1.83181039386211e-07,"ENSG00000183778","B3GALT5","beta-1,3-galactosyltransferase 5","Up"
3897.90849516572,3.91952166223443,0.642696109971717,6.09856135959329,1.07027314532705e-09,2.01655786780138e-07,"ENSG00000105289","TJP3","tight junction protein 3","Up"
366.020373246522,6.24124959977955,1.0244372377677,6.09236893162878,1.11251923632943e-09,2.07854119170692e-07,"ENSG00000105251","SHD","Src homology 2 domain containing transforming protein D","Up"
821.845318513141,6.19831437612836,1.01952655669474,6.07960070821798,1.20482191865541e-09,2.23223380978882e-07,"ENSG00000137825","ITPKA","inositol-trisphosphate 3-kinase A","Up"
