"","Villous","Tubular","EarlyStage","Advanced"
"1145",1,1,1,1
"1146",1,1,1,0
"1147",1,1,1,1
"1148",1,1,1,1
"1149",1,0,1,1
"1150",1,1,1,1
"1151",1,1,1,1
"1152",1,1,1,1
"1153",1,1,1,1
"1154",1,1,1,1
"1155",1,1,0,1
"1156",1,1,1,1
"1157",1,1,1,1
"1158",1,1,1,1
"1159",1,0,1,1
"1160",1,0,1,0
"1161",1,1,1,1
"1162",1,0,0,1
"1163",1,1,1,1
"1164",1,1,1,1
"1165",1,1,1,1
"1166",1,1,1,1
"1167",1,1,1,1
"1168",1,1,1,1
"1169",1,1,1,1
"1170",1,1,1,1
"1171",1,1,1,1
"1172",1,1,1,1
"1173",1,1,1,0
"1174",1,1,1,1
"1175",1,1,1,1
"1176",1,1,1,1
"1177",1,0,1,1
"1178",1,0,1,1
"1179",1,1,1,0
"1180",1,1,1,1
"1181",1,0,0,1
"1182",1,1,0,0
"1183",1,1,1,1
"1184",1,1,1,1
"1185",1,0,1,1
"1186",1,1,1,0
"1187",1,1,1,1
"1188",1,1,1,1
"1189",1,0,0,0
"1190",1,1,0,1
"1191",1,1,1,1
"1192",1,1,1,1
"1193",1,1,1,1
"1194",1,0,0,1
"1195",1,0,1,1
"1196",1,1,1,1
"1197",1,1,1,1
"1198",1,1,1,0
"1199",1,1,1,1
"1200",1,1,1,1
"1201",1,1,1,1
"1202",1,1,1,0
"1203",1,1,1,1
"1204",1,0,1,1
"1205",1,1,1,1
"1206",1,0,0,0
"1207",1,1,1,1
"1208",1,1,1,1
"1209",1,1,1,1
"1210",1,1,0,0
"1211",1,1,0,0
"1212",1,0,1,1
"1213",1,0,1,1
"1214",1,1,1,1
"1215",1,1,1,1
"1216",1,1,1,1
"1217",1,0,0,0
"1218",1,1,1,1
"1219",1,0,0,0
"1220",1,0,0,1
"1221",1,1,1,0
"1222",1,1,1,1
"1223",1,0,1,0
"1224",1,1,1,1
"1225",1,1,1,0
"1226",1,1,1,1
"1227",1,1,1,1
"1228",1,1,0,0
"1229",1,1,1,0
"1230",1,1,1,1
"1231",1,1,1,1
"1232",1,1,1,0
"1233",1,1,1,1
"1234",1,1,1,1
"1235",1,1,1,1
"1236",1,1,1,1
"1237",1,1,1,1
"1238",1,1,1,0
"1239",1,1,1,1
"1240",1,0,0,0
"1241",1,1,1,1
