"Gene_ID","log2FC","p_value","adjusted_p_value","Regulation","Gene_Symbol","Gene_Name"
"ENSG00000137656",0.108700506070859,0.808839119414184,1,"NS","BUD13","BUD13 spliceosome associated protein"
"ENSG00000110435",-0.331910146727654,0.408552985923362,1,"NS","PDHX","pyruvate dehydrogenase complex component X"
"ENSG00000160695",-0.32608862599519,0.393718226587687,1,"NS","VPS11","VPS11 core subunit of CORVET and HOPS complexes"
"ENSG00000172663",0.897165410904314,0.24058548786603,1,"NS","TMEM134","transmembrane protein 134"
"ENSG00000186635",0.573947575006468,0.305500306911433,1,"NS","ARAP1","ArfGAP with RhoGAP domain, ankyrin repeat and PH domain 1"
"ENSG00000137486",0.288386254602185,0.620759601143713,1,"NS","ARRB1","arrestin beta 1"
"ENSG00000175567",1.12360045228718,0.263969600051563,1,"NS","UCP2","uncoupling protein 2"
"ENSG00000166444",-0.528297625150239,0.636060194076836,1,"NS","DENND2B","DENN domain containing 2B"
"ENSG00000086205",1.2222376410315,0.400722627730071,1,"NS","FOLH1","folate hydrolase 1"
"ENSG00000110367",-0.427230564186126,0.428075318687743,1,"NS","DDX6","DEAD-box helicase 6"
"ENSG00000149090",-0.26476071501743,0.854921541214609,1,"NS","PAMR1","peptidase domain containing associated with muscle regeneration 1"
"ENSG00000149541",0.756092419995511,0.294830074119005,1,"NS","B3GAT3","beta-1,3-glucuronyltransferase 3"
"ENSG00000129757",1.21845441796463,0.127946860505939,1,"NS","CDKN1C","cyclin dependent kinase inhibitor 1C"
"ENSG00000110075",0.0182994269493071,0.96157998221854,1,"NS","PPP6R3","protein phosphatase 6 regulatory subunit 3"
"ENSG00000148985",0.0444257991306538,0.938824976139683,1,"NS","PGAP2","post-GPI attachment to proteins 2"
"ENSG00000149806",0.828029411275908,0.301110470511864,1,"NS","FAU","FAU ubiquitin like and ribosomal protein S30 fusion"
"ENSG00000172927",-0.978851580010049,0.514281390802215,1,"NS","MYEOV","myeloma overexpressed"
"ENSG00000158555",0.854667219792226,0.347764402381537,1,"NS","GDPD5","glycerophosphodiester phosphodiesterase domain containing 5"
"ENSG00000137691",-1.41871314856979,0.468661985438902,1,"NS","CFAP300","cilia and flagella associated protein 300"
"ENSG00000023445",-1.41597742577101,0.197715228028714,1,"NS","BIRC3","baculoviral IAP repeat containing 3"
"ENSG00000110497",-0.0754682598327702,0.850836516581294,1,"NS","AMBRA1","autophagy and beclin 1 regulator 1"
"ENSG00000149380",0.531525394306973,0.674026210605208,1,"NS","P4HA3","prolyl 4-hydroxylase subunit alpha 3"
"ENSG00000181830",0.455498087764569,0.44624820931861,1,"NS","SLC35C1","solute carrier family 35 member C1"
"ENSG00000110200",0.305704634670394,0.455978947075908,1,"NS","ANAPC15","anaphase promoting complex subunit 15"
"ENSG00000214530",0.951415518906138,0.353185341903566,1,"NS","STARD10","StAR related lipid transfer domain containing 10"
"ENSG00000160584",-0.265047198513115,0.643785560539466,1,"NS","SIK3","SIK family kinase 3"
"ENSG00000167986",-0.160972249522132,0.693983577808959,1,"NS","DDB1","damage specific DNA binding protein 1"
"ENSG00000184281",1.0707688655012,0.175905777647243,1,"NS","TSSC4","tumor suppressing subtransferable candidate 4"
"ENSG00000149476",0.441864773476068,0.474661552452221,1,"NS","TKFC","triokinase and FMN cyclase"
"ENSG00000176102",-0.457226218920542,0.399530850773424,1,"NS","CSTF3","cleavage stimulation factor subunit 3"
"ENSG00000214026",0.244673549156506,0.810438228514364,1,"NS","MRPL23","mitochondrial ribosomal protein L23"
"ENSG00000095139",-0.208537327888943,0.550421954887489,1,"NS","ARCN1","archain 1 coat protein complex I subunit delta"
"ENSG00000126391",-0.0943046682552193,0.785537293616251,1,"NS","FRMD8","FERM domain containing 8"
"ENSG00000156599",-0.368837160958405,0.318811261240784,1,"NS","ZDHHC5","zDHHC palmitoyltransferase 5"
"ENSG00000002330",1.01639406274671,0.203124766897522,1,"NS","BAD","BCL2 associated agonist of cell death"
"ENSG00000166394",-0.493227828405026,0.534120506169203,1,"NS","CYB5R2","cytochrome b5 reductase 2"
"ENSG00000170955",1.25701298118755,0.319547158966099,1,"NS","CAVIN3","caveolae associated protein 3"
"ENSG00000173264",0.651714817495431,0.370793256566566,1,"NS","GPR137","G protein-coupled receptor 137"
"ENSG00000154133",0.993699592198949,0.474553278108985,1,"NS","ROBO4","roundabout guidance receptor 4"
"ENSG00000172247",0.974678603502939,0.523140180897786,1,"NS","C1QTNF4","C1q and TNF related 4"
"ENSG00000110583",-0.487829130808307,0.296490664742608,1,"NS","NAA40","N-alpha-acetyltransferase 40, NatD catalytic subunit"
"ENSG00000099834",1.14174245540041,0.315744049136735,1,"NS","CDHR5","cadherin related family member 5"
"ENSG00000166575",-0.0206086816776528,0.957851794029436,1,"NS","TMEM135","transmembrane protein 135"
"ENSG00000169519",-0.252456264843675,0.584265047320637,1,"NS","METTL15","methyltransferase 15, mitochondrial 12S rRNA N4-cytidine"
"ENSG00000166900",-0.310943485619784,0.341715503986843,1,"NS","STX3","syntaxin 3"
"ENSG00000051009",0.483409855080257,0.330944415214738,1,"NS","FHIP1B","FHF complex subunit HOOK interacting protein 1B"
"ENSG00000168002",0.427246296924019,0.445820494402276,1,"NS","POLR2G","RNA polymerase II subunit G"
"ENSG00000121691",-0.561124196930914,0.258678866694066,1,"NS","CAT","catalase"
"ENSG00000198561",-0.0112965954852413,0.988859765830771,1,"NS","CTNND1","catenin delta 1"
"ENSG00000205531",0.0248145095452561,0.957158929973814,1,"NS","NAP1L4","nucleosome assembly protein 1 like 4"
"ENSG00000184743",-0.0676547207101271,0.881800242383589,1,"NS","ATL3","atlastin GTPase 3"
"ENSG00000137710",0.187325606406606,0.822034918484515,1,"NS","RDX","radixin"
"ENSG00000134802",0.221513368503399,0.704584253880467,1,"NS","SLC43A3","solute carrier family 43 member 3"
"ENSG00000160654",-0.130195287587487,0.918790981169565,1,"NS","CD3G","CD3 gamma subunit of T-cell receptor complex"
"ENSG00000162129",0.220733665047313,0.710543257584963,1,"NS","CLPB","ClpB family mitochondrial disaggregase"
"ENSG00000172725",0.69313441535681,0.354226745199609,1,"NS","CORO1B","coronin 1B"
"ENSG00000157570",-1.12063144559748,0.208816088203438,1,"NS","TSPAN18","tetraspanin 18"
"ENSG00000162174",-0.31066229441811,0.611331492134636,1,"NS","ASRGL1","asparaginase and isoaspartyl peptidase 1"
